ID_Date,CINE,EXTERIOR,INTERNET,PRENSA,PRODUCCION,RADIO,REVISTAS,PlataformasVideo,VARIOS,INV_Total,Inversion_Online,Inversion_Offline,Unique_visitors,PDFBrochuresDownloaded,ProductConfigurator,Product_configurator_Visists,SocialNetworks,DirectTraffic,EMail,NaturalSearch,OnlineMedia,OtherReferrer,PaidSearch,Visit_Store_off,Mercado_off,Sales_off,Complementos_off,Ropa_hombre_off,Zapatos_off,Ropa_Mujer_off,Home_off,Interior_off,Otros_off,Ticket_medio_off,Dias_mes,Dia_inicio_mes,Dia_findemes,working_days,Dias_fines_semana,Easterweek,RopaHombre_visit,RopaMujer_visit,Complementos_visit,Zapatos_visit,Home_visit,Interior_visit,Otros_visit,SR_Total_visit,Sales_1_ago,Sales_2_ago,Visit_Store_1_ago,Visit_Store_2_ago,Unique_visitors_1_ago
202211,74333.2,0.0,70091.03999999998,0.0,27959.0,3252.0,8800.0,0.0,4426.65,188861.89,102476.68999999997,118770.84999999999,249824,12549,41706,80311,1718,67089,4366,179778,17594,42170,18994,6249,92641,1562,114,436,295,548,147,22,0,63,30,1,2,22,8,0,42373,47172,15380,44717,27926,7485,233,185286,1586.0,1541.0,6611.0,6611.0,396642.0
202212,0.0,0.0,66845.23,0.0,10500.0,2229.6,28100.0,0.0,3559.48,111234.31,80904.70999999999,44389.08,209224,9805,35717,68576,1942,55981,4991,149553,11118,36574,17592,5472,96881,1817,120,446,481,531,184,55,0,61,31,3,5,23,8,0,35190,35275,13016,28467,17942,6931,322,137143,1562.0,1586.0,6249.0,6249.0,249824.0
202301,63683.3,0.0,50163.95,0.0,8900.0,0.0,14800.0,482881.93000000017,5555.34,625984.5200000001,547501.2200000001,92938.64,251831,12305,44708,85903,1690,59771,10490,190767,6990,40570,18527,4621,84511,1072,86,249,240,309,121,67,0,69,31,6,1,21,10,0,52218,44472,16496,25856,21886,11097,166,172191,1817.0,1562.0,5472.0,5472.0,209224.0
202302,63333.2,0.0,114879.97,0.0,0.0,0.0,14300.0,825672.87,11970.85,1030156.89,952523.69,89604.05,260613,12474,47876,90726,5689,55576,1504,174879,26555,40923,38513,5568,97791,1633,139,397,393,472,172,60,0,63,28,2,1,20,8,0,76452,36512,15885,25183,17635,16158,163,187988,1072.0,1817.0,4621.0,4621.0,251831.0
202303,54010.0,0.0,184172.5,1500.0,2450.0,297.2,10800.0,0.0,4099.509999999999,257329.21,190722.01,73156.70999999999,228014,10427,38636,73050,9182,56232,1309,170729,5379,38395,19291,5450,125585,1545,108,519,339,365,148,66,0,79,31,2,4,23,8,0,43139,32440,14569,25241,14627,15173,180,145369,1633.0,1072.0,5568.0,5568.0,260613.0
202304,47300.0,0.0,75768.76,25000.0,2600.0,327.6,0.0,506159.65,7193.5599999999995,664349.5700000001,591721.9700000001,82421.16,207833,11690,33190,63390,2296,50402,3628,149986,11336,34380,19240,4447,101354,1145,74,339,282,314,93,43,0,81,30,5,6,21,9,1,38612,26536,12022,29773,12252,13853,121,133169,1545.0,1633.0,5450.0,5450.0,228014.0
202305,61600.0,0.0,91520.05000000002,13000.0,250.0,0.0,0.0,561110.8899999998,9819.63,737300.5699999998,662700.5699999998,84669.63,230426,16570,39382,75186,3816,56327,757,159421,30434,39038,18098,6736,126393,2107,136,489,397,894,133,58,0,89,31,7,2,22,9,0,35264,49406,11968,34950,12242,13665,98,157593,1145.0,1545.0,4447.0,4447.0,207833.0
202306,55000.0,0.0,239780.98000000004,12000.0,2600.0,0.0,90489.6,1091468.01,11352.45,1502691.04,1345201.44,171442.05000000002,294687,13607,46154,84483,1016,71304,7213,146865,81641,41392,23318,5859,131784,1870,128,361,427,797,109,48,0,82,30,3,4,22,8,0,30945,147593,12666,23831,10989,12360,82,238466,2107.0,1145.0,6736.0,6736.0,230426.0
202307,59400.0,0.0,30172.35,0.0,0.0,0.0,0.0,1500.0,4593.04,95665.39,36265.39,63993.04,220113,13676,33698,61335,3421,79389,1039,146242,4336,40195,21277,5801,109947,1696,129,375,261,749,93,89,0,83,31,5,7,21,10,0,28272,71505,12374,24552,11518,12123,69,160413,1870.0,2107.0,5859.0,5859.0,294687.0
202308,35750.0,28000.0,26169.05,0.0,100.0,0.0,0.0,388190.4599999999,1758.47,479967.97999999986,416217.97999999986,65608.47,254381,15904,44518,79057,19302,76983,4531,168868,539,42787,16136,5640,72409,1447,102,365,281,586,68,45,0,62,31,1,3,23,8,0,39063,59504,13020,30451,11139,13252,86,166515,1696.0,1870.0,5801.0,5801.0,220113.0
202309,44000.0,0.0,111929.43,18450.0,16666.67,0.0,25296.01,0.0,1703.89,218046.0,130299.98999999999,106116.56999999999,195193,13313,40133,72001,1136,67405,948,145974,461,29847,11458,5874,83286,1618,130,414,263,667,103,41,0,74,30,4,5,22,8,0,27297,42381,11817,23677,9348,10195,34,124749,1447.0,1696.0,5640.0,5640.0,254381.0
202310,60500.0,0.0,260145.83999999997,10580.0,13000.0,0.0,115076.68,1000382.69,16594.89,1476280.1,1290123.4199999997,215751.57,290965,18169,51339,93851,3652,114165,7386,160316,51725,28599,29321,6602,94669,1704,97,346,302,735,157,67,0,86,31,6,1,21,10,0,32005,93005,12824,22327,12347,11996,8,184512,1618.0,1447.0,5874.0,5874.0,195193.0
202311,0.0,0.0,97596.11,0.0,25000.0,0.0,7020.0,0.0,2258.21,131874.32,124854.32,34278.21,242451,16999,45218,84245,5144,122674,10584,152242,2336,27126,27055,7233,104168,2147,123,510,385,957,130,42,0,85,30,2,3,22,8,0,25243,46827,12175,23003,12654,10171,187,130260,1704.0,1618.0,6602.0,6602.0,290965.0
202312,0.0,0.0,27287.66,5500.02,0.0,0.0,11275.0,0.0,1701.92,45764.6,28989.58,18476.940000000002,203367,13691,40336,72409,2896,110864,3266,130510,405,22774,19003,6311,102939,2163,115,509,389,996,127,27,0,89,31,4,6,22,9,0,24010,37144,10574,19232,11038,11589,9,113596,2147.0,1704.0,7233.0,7233.0,242451.0
202401,39600.0,0.0,87252.06999999998,0.0,3000.0,0.0,0.0,390701.94,6118.17,526672.18,487072.18,48718.17,266488,17565,51087,90872,5711,133517,3107,154374,16697,26055,34642,5827,101658,1880,185,552,381,584,116,62,0,90,31,7,2,22,9,0,44865,46593,13691,21904,11891,11983,7,150934,2163.0,2147.0,6311.0,6311.0,203367.0
202402,55950.0,0.0,353887.25999999995,7000.0,0.0,0.0,10405.0,0.0,2177.44,429419.6999999999,356064.69999999995,75532.44,299866,19444,59157,105030,15205,145599,1868,158737,25195,34106,38035,6976,110473,2237,171,549,376,923,140,78,0,95,28,3,2,20,8,0,47979,54426,12620,22052,11470,10862,5,159414,1880.0,2163.0,5827.0,5827.0,266488.0
202403,50230.0,0.0,133448.08000000002,5000.0,500.0,0.0,0.0,693066.72,3440.8,885685.6000000001,830455.6000000001,59170.8,254981,15247,49244,86681,35521,109026,10793,157007,2043,28587,11347,6506,128165,2195,236,489,373,919,126,52,0,75,31,3,5,23,8,0,26136,41617,11122,18230,9021,10317,6,116449,2237.0,1880.0,6976.0,6976.0,299866.0
202404,43591.89,0.0,57885.36,14498.75,12400.0,0.0,22497.45,574876.0499999999,4223.07,729972.57,649384.4799999999,97211.16,220584,15098,45777,81540,992,98557,1595,144292,9755,25027,28959,6176,116453,1663,172,370,302,697,78,44,0,84,30,6,7,20,10,1,24027,41722,10461,16474,8316,9945,3,110948,2195.0,2237.0,6506.0,6506.0,254981.0
202405,109322.52,0.0,173500.49000000002,0.0,0.0,0.0,19485.0,534028.3500000002,5750.07,842086.4300000002,713278.9100000001,134557.59,281652,16523,48499,88308,2064,91138,143,139353,34073,21725,110054,6453,135519,1964,216,423,325,859,94,47,0,89,31,1,3,23,8,0,24884,33785,11890,16991,9202,12658,6,109416,1663.0,2195.0,6176.0,6176.0,220584.0
202406,70613.15,0.0,131323.96,5000.0,0.0,0.0,0.0,845598.92,9471.22,1062007.25,986394.1,85084.37,233019,11787,38257,70555,875,78737,97,131712,34020,20354,54874,5339,142371,1784,70,491,342,739,99,43,0,82,30,4,5,22,8,0,30028,28209,10261,13567,7062,9744,6,98877,1964.0,1663.0,6453.0,6453.0,281652.0
202407,0.0,0.0,63289.23000000001,2250.0,0.0,0.0,4000.0,8265.0,5114.24,82918.47000000002,76668.47000000002,11364.24,254096,13101,40543,82847,2061,102704,80,144785,36606,24601,37128,5873,131171,1826,151,399,328,807,102,39,0,75,31,6,1,21,10,0,32977,31677,10425,14957,6922,21157,7,118122,1784.0,1964.0,5339.0,5339.0,233019.0
202408,61301.52,0.0,92527.74,0.0,0.0,0.0,10388.25,381489.7,2200.77,547907.98,476218.21,73890.54,252850,14253,46315,87169,2402,112416,54,181144,13810,24534,18772,7218,107677,2202,187,640,376,824,141,34,0,91,31,2,4,23,8,0,31531,37093,14338,17446,11722,15855,1494,129479,1826.0,1784.0,5873.0,5873.0,254096.0
202409,53826.13500000001,0.0,136639.27375,4218.59375,1987.5,0.0,8346.9625,428503.335,4811.9725,638333.7725000001,571942.08125,73191.16375,236865,5080,42372,81909,1566,107521,118,176877,5450,18959,20635,6540,69129,1641,209,396,246,616,115,59,0,62,30,5,6,21,9,0,28271,34293,12813,14777,9823,14214,3226,117417,2202.0,1826.0,7218.0,7218.0,252850.0
202410,46435.0,0.0,105945.0,2867.0,497.0,0.0,5684.0,415964.0,5400.0,582792.0,527806.0,60883.0,244208,11055,41872,80620,1726,100345,87,158630,22472,22112,32852,6243,112587,1863,154,482,323,747,114,44,0,78,31,2,4,23,8,0,30702,32818,11959,15187,8882,15243,1183,115974,1641.0,2202.0,6540.0,6540.0,236865.0
202411,40391.0,0.0,99600.0,2334.0,621.0,0.0,7105.0,308556.0,4382.0,462989.0,413159.0,54833.0,247005,10872,42776,83136,1939,105747,85,165359,19585,22552,27347,6469,105141,1883,175,479,318,749,118,44,0,77,30,5,5,21,9,0,30870,33970,12384,15592,9337,16617,1478,120248,1863.0,1641.0,6243.0,6243.0,244208.0
202412,50488.0,0.0,108678.0,2355.0,776.0,0.0,7881.0,383628.0,4199.0,558005.0,497281.0,65699.0,245232,10315,43334,83209,1908,106507,86,170503,15329,22039,24902,6618,98634,1897,181,499,316,734,122,45,0,77,31,7,6,22,9,0,30344,34544,12874,15751,9941,15482,1845,120780,1883.0,1863.0,6469.0,6469.0,247005.0
